variables,pattern,n,pct
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000001010,2152,0.7
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000110011,2146,0.7
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100000111,2138,0.7
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100001001,2114,0.69
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100001011,1877,0.61
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100001100,1659,0.54
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100001010,1565,0.51
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100001110,1500,0.49
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000110111,1394,0.46
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100000100,1366,0.45
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100000011,1349,0.44
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100111111,1177,0.39
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100000110,1134,0.37
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100001011,1046,0.34
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100000010,1031,0.34
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100001001,940,0.31
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100001010,845,0.28
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100000110,706,0.23
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100110011,577,0.19
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000110001,545,0.18
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000111011,405,0.13
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100111011,292,0.1
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100110011,264,0.09
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100110111,247,0.08
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000111101,214,0.07
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000110101,187,0.06
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100111101,168,0.05
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,101100111111,141,0.05
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000110000,119,0.04
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000110010,118,0.04
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100111011,109,0.04
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000111001,105,0.03
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000010011,96,0.03
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100110001,92,0.03
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000111110,92,0.03
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100111001,74,0.02
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100111101,70,0.02
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100110111,69,0.02
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100111110,68,0.02
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000110110,56,0.02
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100110101,46,0.02
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000111010,45,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000110100,34,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000010000,31,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000111000,30,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100111010,29,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100110010,28,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100111100,28,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100111001,26,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100011011,25,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000111100,25,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000011011,23,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000010001,22,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100110000,21,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100110001,20,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100010011,19,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100111010,19,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000010010,16,0.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000010101,15,0.0
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100010000,14,0.0
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000100001,13,0.0
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100111000,13,0.0
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000011111,13,0.0
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100110101,12,0.0
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100110110,12,0.0
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100111110,12,0.0
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100010011,11,0.0
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000011001,11,0.0
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100101000,11,0.0
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,<other: 65 patterns each below 11>,227,0.07
